County,ZIP Code,Total Births 2014-2016,Premature Birth Perc,Low Birth Rate Perc,Out of Wedlock Perc,Medicaid or Self-Pay Perc,Late or No Prenatal Care Perc,Infant Deaths 2014-2016 per 1000 Live Births,Infant Deaths Rate per 1000 Live Births,Neonatal Deaths 2014-2016 per 1000 Live Births,Neonatal Dearths Rate per 1000 Live Births,Teen Birth Rate per 1000,Teen Pregnancy Rate per 1000
Albany,12009 ,223 ,3.3 ,3.1 ,23.3 ,20.2 ,3.7 ,0 ,0.0 ,0 ,0.0 ,5.3 ,13.3 
Albany,12023 ,62 ,11.9 ,4.8 ,50.0 ,40.3 ,3.4 ,0 ,0.0 ,0 ,0.0 ,11.9 ,35.7 
Albany,12041 ,11 ,0.0 ,0.0 ,27.3 ,18.2 ,20.0 ,0 ,0.0 ,0 ,0.0 ,* ,* 
Albany,12046 ,13 ,7.7 ,0.0 ,30.8 ,38.5 ,0.0 ,0 ,0.0 ,0 ,0.0 ,* ,* 
Albany,12047 ,732 ,10.2 ,7.8 ,47.7 ,44.3 ,4.4 ,5 ,6.8 ,3 ,4.1 ,19.0 ,33.0 
Albany,12054 ,407 ,6.7 ,4.4 ,13.0 ,11.3 ,1.8 ,0 ,0.0 ,0 ,0.0 ,1.6 ,4.3 
Albany,12059 ,38 ,10.5 ,7.9 ,23.7 ,28.9 ,0.0 ,0 ,0.0 ,0 ,0.0 ,0.0 ,12.8 
Albany,12067 ,53 ,12.0 ,5.7 ,26.4 ,28.3 ,2.0 ,0 ,0.0 ,0 ,0.0 ,7.6 ,15.2 
Albany,12077 ,153 ,6.0 ,2.0 ,12.4 ,9.2 ,4.1 ,0 ,0.0 ,0 ,0.0 ,1.2 ,6.0 
Albany,12084 ,217 ,7.6 ,5.5 ,9.2 ,12.4 ,5.1 ,1 ,4.6 ,1 ,4.6 ,0.0 ,3.5 
Albany,12110 ,528 ,8.9 ,5.3 ,22.9 ,21.2 ,4.3 ,3 ,5.7 ,3 ,5.7 ,5.2 ,9.9 
Albany,12120 ,24 ,16.7 ,12.5 ,29.2 ,39.1 ,0.0 ,0 ,0.0 ,0 ,0.0 ,* ,* 
Albany,12143 ,184 ,12.1 ,7.6 ,50.0 ,42.4 ,4.4 ,0 ,0.0 ,0 ,0.0 ,12.3 ,29.8 
Albany,12147 ,16 ,6.7 ,6.3 ,31.3 ,31.3 ,0.0 ,0 ,0.0 ,0 ,0.0 ,* ,* 
Albany,12158 ,218 ,8.5 ,5.5 ,30.3 ,29.8 ,2.8 ,0 ,0.0 ,0 ,0.0 ,9.0 ,12.8 
Albany,12159 ,141 ,7.4 ,5.0 ,14.9 ,12.1 ,1.4 ,0 ,0.0 ,0 ,0.0 ,0.0 ,2.5 
Albany,12183 ,84 ,5.1 ,7.1 ,61.9 ,52.4 ,4.8 ,0 ,0.0 ,0 ,0.0 ,9.4 ,18.8 
Albany,12186 ,133 ,4.8 ,3.0 ,14.3 ,12.8 ,1.5 ,1 ,7.5 ,1 ,7.5 ,3.7 ,11.2 
Albany,12189 ,648 ,10.1 ,7.1 ,44.0 ,39.7 ,3.8 ,2 ,3.1 ,2 ,3.1 ,10.1 ,22.0 
Albany,12193 ,54 ,4.4 ,5.6 ,50.0 ,33.3 ,3.8 ,0 ,0.0 ,0 ,0.0 ,0.0 ,4.7 
Albany,12202 ,457 ,12.0 ,11.6 ,77.2 ,80.7 ,7.4 ,4 ,8.8 ,2 ,4.4 ,44.6 ,82.9 
Albany,12203 ,766 ,10.3 ,6.7 ,27.7 ,31.6 ,4.1 ,6 ,7.8 ,4 ,5.2 ,2.0 ,4.8 
Albany,12204 ,302 ,13.1 ,10.9 ,46.7 ,45.4 ,7.1 ,1 ,3.3 ,1 ,3.3 ,19.0 ,43.9 
Albany,12205 ,823 ,11.4 ,7.8 ,30.9 ,30.2 ,4.0 ,2 ,2.4 ,2 ,2.4 ,10.9 ,19.5 
Albany,12206 ,882 ,12.4 ,10.9 ,67.3 ,76.5 ,8.8 ,6 ,6.8 ,4 ,4.5 ,43.2 ,95.7 
Albany,12207 ,60 ,14.0 ,20.0 ,73.3 ,80.0 ,15.5 ,2 ,33.3 ,2 ,33.3 ,18.3 ,45.7 
Albany,12208 ,713 ,10.5 ,9.5 ,33.4 ,35.7 ,4.2 ,6 ,8.4 ,5 ,7.0 ,10.5 ,26.0 
Albany,12209 ,400 ,11.3 ,7.8 ,44.9 ,52.5 ,3.6 ,6 ,15.0 ,5 ,12.5 ,25.2 ,48.2 
